epoch,loss,val_auroc,val_aupr,val_ece
1,0.6920857514653888,0.6923076923076923,0.6543370028664146,0.021555105490343895
2,0.6863949298858643,0.7025641025641026,0.5987648642626019,0.20190749636718203
3,0.6791021568434579,0.7128205128205128,0.6055387276541122,0.15065346551792963
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4024058933157915,0.918931321941533,0.9197092362719537,0.04342657765565598
2,0.3216203972928212,0.9259800729212354,0.9274740446003767,0.03758044668806779
3,0.284006653317774,0.925710504352295,0.9280026681284652,0.03791118845104263
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4021212409001585,0.9194883725320125,0.9203443585978086,0.041207463687529845
2,0.3212976069348389,0.9262393845939298,0.9281411865435434,0.03374028602394692
3,0.28446639116717215,0.9256223335681344,0.9281138949576633,0.03240433001682599
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4023218024371946,0.9192076802868617,0.9200250596236975,0.04115306855699781
2,0.3216276817665807,0.9260872647101709,0.9274234970373298,0.037375221207282504
3,0.2849066180753841,0.9260244713171917,0.92828849019355,0.03425832986447646
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4020900144221542,0.9198384553287609,0.9207497163183298,0.041436915050898186
2,0.321544926015398,0.9243372841164113,0.9250788773551749,0.037787276736374456
3,0.28606808884444623,0.9248610599871447,0.9281650908885741,0.040769361124633564
epoch,loss,val_auroc,val_aupr,val_ece
1,0.40215424168797215,0.9191083376720486,0.919975832374596,0.0396493244494554
2,0.3219579104183996,0.9245095807115647,0.925071085484976,0.043924714318200185
3,0.2854723358701196,0.9240159495218168,0.9273691483717365,0.039205532961388144
epoch,loss,val_auroc,val_aupr,val_ece
1,0.40196965454216704,0.9184349459485646,0.9196805458975251,0.04521141120708988
2,0.32050704927416374,0.9262803158700286,0.9275058396279768,0.03387805108745659
3,0.2857507361215756,0.9246765321636041,0.9267690552679714,0.03993462161417756
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4020904123145678,0.9183272244607616,0.9197032028844161,0.045885831741564506
2,0.3204294542302201,0.9243812491223854,0.9254005369409977,0.04066988613703472
3,0.28581262671810753,0.9252955093670984,0.926963662289459,0.03976851687602526
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4020421543497516,0.9187828136409594,0.9200714733926983,0.04471668357616885
2,0.32054578131832695,0.924223254396645,0.9252252670291513,0.038438419400863275
3,0.28606062782472214,0.9258159625813015,0.9276402970296244,0.03747894157574609
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4021114865150499,0.9183691669801521,0.9196249609825712,0.04543397340630586
2,0.32043739397168824,0.9258937801603312,0.9269251439340007,0.03622346015400382
3,0.2860353663217297,0.926020281880697,0.9283273626906836,0.03550454086319541
epoch,loss,val_auroc,val_aupr,val_ece
1,0.6940515041351318,0.4696969696969697,0.5230581506767277,0.044864033875258086
2,0.6862293183803558,0.5151515151515152,0.5416187567373337,0.04706699303958728
3,0.6802270412445068,0.5454545454545454,0.5323876017655922,0.007900573637174514
epoch,loss,val_auroc,val_aupr,val_ece
1,0.6940515041351318,0.4696969696969697,0.5230581506767277,0.04486404164977699
2,0.6862293084462484,0.5151515151515152,0.5416187567373337,0.04706700210985935
3,0.6802270809809366,0.5454545454545454,0.5323876017655922,0.007900569749915095
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4020785161346585,0.9187358149051097,0.9200544414507598,0.04623544980271642
2,0.3207424358318699,0.9265282630943004,0.9276755837499038,0.03528897598473523
3,0.28568229549469154,0.9251595212215666,0.9265599606146098,0.041568581906413826
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4022835512026008,0.9173356763358861,0.9187740011110985,0.04746814655951972
2,0.3206415933597849,0.925671499253895,0.926699954032522,0.03708814145080823
3,0.2861691289162754,0.9253149637618557,0.9272689940029215,0.04101683189457086
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4103212358738352,0.9223748461224791,0.9246600128695424,0.03426763901842934
2,0.32409923695956266,0.9261217432909786,0.9283940704820144,0.04498421057646504
3,0.28785408011095465,0.9238700897155786,0.9242730766957874,0.0471577860035432
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4104893800732665,0.9221565138803255,0.9243904253387303,0.03486410358003159
2,0.3242734340744143,0.9251519128196563,0.9271456421532194,0.04663214596362525
3,0.2876435441449423,0.9227456353294892,0.9232786627176245,0.05429296721197076
epoch,loss,val_auroc,val_aupr,val_ece
1,0.410477866233319,0.9223612665697029,0.9246555874012417,0.03503842933898085
2,0.3242233337884133,0.926090346594489,0.9282398565838748,0.04709453786934146
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4103583255800045,0.9218715358897949,0.9240174444346251,0.03660904276731896
2,0.3245335839601015,0.9261267513529954,0.9281754599506269,0.046292337041905475
3,0.28737843689328013,0.9239347129773718,0.9247229781061814,0.05088684098294401
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4104749074982917,0.9221539135404321,0.9243219601633903,0.036893301790389514
2,0.32464346590798904,0.9262707331359772,0.9284474732981023,0.048457876692359896
3,0.2873206267945159,0.9242721793101933,0.9251787287367442,0.051045147727727884
