epoch,loss,val_auroc,val_aupr,val_ece
1,0.4136803386627852,0.8881458979445566,0.8930561384378753,0.01834560421778667
2,0.34843136752642095,0.8934575737210806,0.8976624812817423,0.029380769689764163
3,0.3161055216102665,0.8875367924017684,0.8926781063187559,0.03474369101171686
epoch,loss,val_auroc,val_aupr,val_ece
1,0.4139557369445986,0.89017194795699,0.8946012815969053,0.0170165791973969
2,0.34810932701186814,0.8924176785359663,0.8967892547707119,0.02917761946425959
3,0.31605451360058506,0.8878840822408535,0.8928560943016512,0.03669094068405965
epoch,loss,val_auroc,val_aupr,val_ece
1,0.41395723747674973,0.8903748707775538,0.894714210528522,0.0151392485057972
2,0.3481719808748843,0.8941014467713313,0.8984122201959676,0.02584477050581516
3,0.3166911720638311,0.887567370472736,0.8929906852051449,0.037365271373768966
